date,is_simulator,mission_type,aircraft_type,custom_aircraft_type,tail_number,origin,destinations,copilot_name,hour_breakdown,total_flight_hours,pilot_role,is_pic,remarks,organization_id,id,created_date,updated_date,created_by_id,is_sample
"2022-03-10","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""B""}]","1.5","PI","","","","688036c2c8518fed100db2dd","2025-07-23T01:11:30.301000","2025-07-23T18:43:15.376000","687810a9294a03ec0724d15f",""
"2022-04-13","","Training","AH-64E","","1109023","","[]","","[{""mode"":""D"",""duration"":1.2,""seat_position"":""B""}]","1.2","PI","","","","688036ce3a10d8b2b3a1faa4","2025-07-23T01:11:42.297000","2025-07-23T18:43:08.062000","687810a9294a03ec0724d15f",""
"2023-07-24","true","Training","AH-64E","","","","[]","","[{""mode"":""NS"",""duration"":2,""seat_position"":""F""}]","2","PI","","","","688036b96fd7872da0fa07d8","2025-07-23T01:11:21.141000","2025-07-23T18:42:00.980000","687810a9294a03ec0724d15f",""
"2022-04-14","","Training","AH-64E","","1703175","","[]","","[{""mode"":""D"",""duration"":1.6,""seat_position"":""B""}]","1.6","PI","","","","688036cf9e09e0c51e5d436d","2025-07-23T01:11:43.292000","2025-07-23T18:43:07.522000","687810a9294a03ec0724d15f",""
"2022-04-04","","Training","AH-64E","","1903252","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036ca4fde1421a7ea84fb","2025-07-23T01:11:38.297000","2025-07-23T18:43:10.289000","687810a9294a03ec0724d15f",""
"2023-07-20","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":2,""seat_position"":""B""}]","2","PI","","","","688036b8e7b29dd455abe6a9","2025-07-23T01:11:20.649000","2025-07-23T18:42:01.542000","687810a9294a03ec0724d15f",""
"2022-04-01","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036c94fde1421a7ea84ec","2025-07-23T01:11:37.309000","2025-07-23T18:43:10.836000","687810a9294a03ec0724d15f",""
"2022-03-30","","Training","AH-64E","","1109014","","[]","","[{""mode"":""D"",""duration"":1.3,""seat_position"":""B""}]","1.3","PI","","","","688036c7b0d5ac50fabebd41","2025-07-23T01:11:35.296000","2025-07-23T18:43:11.975000","687810a9294a03ec0724d15f",""
"2023-03-24","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":2,""seat_position"":""B""}]","2","PI","","","","688036b3855a5821a2828e8a","2025-07-23T01:11:15.960000","2025-07-23T18:42:12.720000","687810a9294a03ec0724d15f",""
"2022-04-11","","Training","AH-64E","","1503069","","[]","","[{""mode"":""D"",""duration"":1.3,""seat_position"":""B""}]","1.3","PI","","","","688036ccd1785c00f3fbc0ff","2025-07-23T01:11:40.307000","2025-07-23T18:43:09.170000","687810a9294a03ec0724d15f",""
"2022-03-10","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036c3a1c06d5fa6560ac9","2025-07-23T01:11:31.325000","2025-07-23T18:43:14.719000","687810a9294a03ec0724d15f",""
"2022-03-09","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036c1e7b29dd455abe6d5","2025-07-23T01:11:29.322000","2025-07-23T18:43:15.952000","687810a9294a03ec0724d15f",""
"2023-03-24","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":2,""seat_position"":""B""}]","2","PI","","","","688036b39e09e0c51e5d4328","2025-07-23T01:11:15.461000","2025-07-23T18:42:13.329000","687810a9294a03ec0724d15f",""
"2023-07-19","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":2,""seat_position"":""F""}]","2","PI","","","","688036b711a4a4e5a308d0d5","2025-07-23T01:11:19.643000","2025-07-23T18:42:02.718000","687810a9294a03ec0724d15f",""
"2023-07-12","true","Training","AH-64E","","","","[]","","[{""mode"":""NS"",""duration"":1,""seat_position"":""F""}]","1","PI","","","","688036b77d902dc72713d6de","2025-07-23T01:11:19.126000","2025-07-23T18:42:03.300000","687810a9294a03ec0724d15f",""
"2023-07-19","true","Training","AH-64E","","","","[]","","[{""mode"":""NS"",""duration"":2,""seat_position"":""F""}]","2","PI","","","","688036b8c950a087a8a8ee82","2025-07-23T01:11:20.152000","2025-07-23T18:42:02.165000","687810a9294a03ec0724d15f",""
"2022-06-21","","Training","AH-64E","","1401008","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""B""}]","1.5","PI","","","","688036f3482e7a2d965f5703","2025-07-23T01:12:19.297000","2025-07-23T18:42:46.716000","687810a9294a03ec0724d15f",""
"2022-04-28","","Training","AH-64E","","1401007","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036d4b05fe8fb79d107b7","2025-07-23T01:11:48.302000","2025-07-23T18:43:04.602000","687810a9294a03ec0724d15f",""
"2022-05-09","","Training","AH-64E","","1401008","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036da452bb6ea3d72dee5","2025-07-23T01:11:54.296000","2025-07-23T18:43:01.188000","687810a9294a03ec0724d15f",""
"2022-05-27","","Training","AH-64E","","1603085","","[]","","[{""mode"":""D"",""duration"":1,""seat_position"":""B""}]","1","PI","","","","688036e84fde1421a7ea85c8","2025-07-23T01:12:08.320000","2025-07-23T18:42:53.248000","687810a9294a03ec0724d15f",""
"2022-05-02","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""B""}]","1.5","PI","","","","688036d6b05fe8fb79d107c5","2025-07-23T01:11:50.302000","2025-07-23T18:43:03.511000","687810a9294a03ec0724d15f",""
"2022-05-11","","Training","AH-64E","","1903266","","[]","","[{""mode"":""D"",""duration"":1.6,""seat_position"":""F""}]","1.6","PI","","","","688036dcd37c09892fe1026c","2025-07-23T01:11:56.337000","2025-07-23T18:43:00.115000","687810a9294a03ec0724d15f",""
"2022-05-23","true","Training","AH-64E","","","","[]","","[{""mode"":""H"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036e4c8518fed100db3d3","2025-07-23T01:12:04.313000","2025-07-23T18:42:55.563000","687810a9294a03ec0724d15f",""
"2022-05-20","true","Training","AH-64E","","","","[]","","[{""mode"":""W"",""duration"":1.5,""seat_position"":""B""}]","1.5","PI","","","","688036e323f46a0bdd07d3b4","2025-07-23T01:12:03.302000","2025-07-23T18:42:56.145000","687810a9294a03ec0724d15f",""
"2022-05-19","","Training","AH-64E","","1109014","","[]","","[{""mode"":""H"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036e1d1785c00f3fbc17c","2025-07-23T01:12:01.287000","2025-07-23T18:42:57.286000","687810a9294a03ec0724d15f",""
"2022-05-03","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036d8c950a087a8a8efa5","2025-07-23T01:11:52.298000","2025-07-23T18:43:02.341000","687810a9294a03ec0724d15f",""
"2022-05-24","true","Training","AH-64E","","","","[]","","[{""mode"":""NS"",""duration"":1.5,""seat_position"":""B""}]","1.5","PI","","","","688036e6f8083c28a03caba0","2025-07-23T01:12:06.307000","2025-07-23T18:42:54.394000","687810a9294a03ec0724d15f",""
"2022-06-14","","Training","AH-64E","","1209033","","[]","","[{""mode"":""D"",""duration"":1.2,""seat_position"":""B""}]","1.2","PI","","","","688036f13a10d8b2b3a1fb15","2025-07-23T01:12:17.299000","2025-07-23T18:42:47.914000","687810a9294a03ec0724d15f",""
"2022-06-30","true","Training","AH-64E","","","","[]","","[{""mode"":""NS"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036fa855a5821a2829031","2025-07-23T01:12:26.316000","2025-07-23T18:42:40.648000","687810a9294a03ec0724d15f",""
"2022-05-10","","Training","AH-64E","","1009003","","[]","","[{""mode"":""D"",""duration"":2,""seat_position"":""F""}]","2","PI","","","","688036dbb6f49484bf06bb38","2025-07-23T01:11:55.287000","2025-07-23T18:43:00.649000","687810a9294a03ec0724d15f",""
"2022-07-05","","Training","AH-64E","","1209032","","[]","","[{""mode"":""NS"",""duration"":1.3,""seat_position"":""F""}]","1.3","PI","","","","688036fbc950a087a8a8f08d","2025-07-23T01:12:27.330000","2025-07-23T18:42:40.095000","687810a9294a03ec0724d15f",""
"2022-05-03","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""B""}]","1.5","PI","","","","688036d72354b00eddc25aaa","2025-07-23T01:11:51.301000","2025-07-23T18:43:02.929000","687810a9294a03ec0724d15f",""
"2022-05-16","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036dfba138e2f497a5948","2025-07-23T01:11:59.299000","2025-07-23T18:42:57.840000","687810a9294a03ec0724d15f",""
"2022-05-24","true","Training","AH-64E","","","","[]","","[{""mode"":""NS"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036e7b05fe8fb79d1081c","2025-07-23T01:12:07.296000","2025-07-23T18:42:53.862000","687810a9294a03ec0724d15f",""
"2022-06-03","","Training","AH-64E","","1109010","","[]","","[{""mode"":""D"",""duration"":1,""seat_position"":""B""}]","1","PI","","","","688036ecb05fe8fb79d10841","2025-07-23T01:12:12.307000","2025-07-23T18:42:50.780000","687810a9294a03ec0724d15f",""
"2022-06-04","","Training","AH-64E","","1703172","","[]","","[{""mode"":""D"",""duration"":1.4,""seat_position"":""B""}]","1.4","PI","","","","688036ede7b29dd455abe7a4","2025-07-23T01:12:13.311000","2025-07-23T18:42:50.219000","687810a9294a03ec0724d15f",""
"2022-06-29","","Training","AH-64E","","1803234","","[]","","[{""mode"":""N"",""duration"":0.5,""seat_position"":""B""}]","0.5","PI","","","","688036f74fde1421a7ea861d","2025-07-23T01:12:23.306000","2025-07-23T18:42:41.760000","687810a9294a03ec0724d15f",""
"2022-05-13","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036de9e09e0c51e5d43a9","2025-07-23T01:11:58.297000","2025-07-23T18:42:58.966000","687810a9294a03ec0724d15f",""
"2022-06-15","","Training","AH-64E","","1403015","","[]","","[{""mode"":""D"",""duration"":1.3,""seat_position"":""B""}]","1.3","PI","","","","688036f2b05fe8fb79d10864","2025-07-23T01:12:18.298000","2025-07-23T18:42:47.266000","687810a9294a03ec0724d15f",""
"2022-06-27","","Training","AH-64E","","1803233","","[]","","[{""mode"":""D"",""duration"":1.3,""seat_position"":""B""}]","1.3","PI","","","","688036f6d1785c00f3fbc1fe","2025-07-23T01:12:22.322000","2025-07-23T18:42:42.859000","687810a9294a03ec0724d15f",""
"2022-05-04","","Training","AH-64E","","1403015","","[]","","[{""mode"":""D"",""duration"":2,""seat_position"":""F""}]","2","PI","","","","688036d9452bb6ea3d72ded9","2025-07-23T01:11:53.323000","2025-07-23T18:43:01.761000","687810a9294a03ec0724d15f",""
"2022-05-16","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""B""}]","1.5","PI","","","","688036e02354b00eddc25acc","2025-07-23T01:12:00.297000","2025-07-23T18:42:58.375000","687810a9294a03ec0724d15f",""
